*Frequency 	VM1-abs (dB)	VM1-phase (deg)
1000	-48,2849333179665	176,328303548521
1020,93141269344	-47,9250432851516	176,251337018744
1042,30094942422	-47,5651521670753	176,172751841186
1064,11778074737	-47,2052599240801	176,092513655814
1086,39126917062	-46,8453665153712	176,010587352618
1109,13097317218	-46,4854718990149	175,926937053957
1132,34665130272	-46,1255760319411	175,841526096414
1156,04826637316	-45,7656788699508	175,754317012137
1180,24598973015	-45,4057803677274	175,665271509655
1204,95020562097	-45,0458804788556	175,57435045414
1230,17151564986	-44,6859791558445	175,481513847099
1255,92074332764	-44,3260763501595	175,386720805474
1282,20893871647	-43,9661720122616	175,289929540126
1309,04738317196	-43,6062660916554	175,191097333682
1336,4475941844	-43,246358536947	175,090180517712
1364,42133032142	-42,8864492959134	174,987134449224
1392,9805962741	-42,5265383155832	174,881913486432
1422,13764800866	-42,1666255423317	174,774470963781
1451,90499802601	-41,8067109219903	174,664759166196
1482,29542073135	-41,4467943999724	174,552729302516
1513,32195791627	-41,0868759214183	174,438331478088
1544,99792435545	-40,7269554313591	174,321514666481
1577,33691352064	-40,3670328749037	174,20222668029
1610,35280341413	-40,0071081974496	174,080414140973
1644,05976252442	-39,647181344921	173,956022447705
1678,4722559065	-39,2872522640366	173,828995745188
1713,60505138936	-38,9273209026095	173,699276890377
1749,47322591354	-38,5673872098831	173,566807418077
1786,09217200126	-38,2074511369062	173,43152750536
1823,47760436193	-37,8475126369515	173,293375934743
1861,64556663607	-37,4875716659807	173,152290056088
1900,61243828023	-37,1276281831623	173,008205747145
1940,39494159616	-36,7676821514454	172,861057372699
1981,01014890696	-36,4077335381961	172,710777742239
2022,47548988362	-36,0477823159023	172,55729806609
2064,80875902473	-35,6878284629524	172,400547909946
2108,0281232929	-35,3278719644966	172,240455147709
2152,15212991091	-34,9679128133962	172,07694591258
2197,19971432114	-34,6079510112719	171,909944546303
2243,19020831149	-34,247986569658	171,739373546487
2290,14334831153	-33,8880195112734	171,565153511912
2338,07928386217	-33,5280498714202	171,387203085725
2387,01858626266	-33,1680776995214	171,205438896433
2436,98225739863	-32,8081030608107	171,019775496582
2487,99173875482	-32,4481260381885	170,83012529902
2540,06892061656	-32,0881467342582	170,636398510635
2593,23615146375	-31,7281652735615	170,438503063435
2647,51624756158	-31,3681818050284	170,236344542866
2702,93250275187	-31,0081965046625	170,029826113232
2759,50869844947	-30,6482095784839	169,81884844007
2817,26911384784	-30,2882212657502	169,603309609373
2876,23853633826	-29,9282318424841	169,383105043473
2936,44227214712	-29,5682416253325	169,158127413477
2997,90615719588	-29,2082509757878	168,928266548067
3060,65656818834	-28,8482603048045	168,693409338514
3124,72043392997	-28,4882700778453	168,453439639745
3190,12524688417	-28,1282808203955	168,208238167277
3256,89907497045	-27,7682931239877	167,957682389854
