R1	Freq_tr(Hz)	V_tr(V)	DC_tr(V)	Freq_sq(Hz)	V_sq(V)	DC_sq(V)	Phase(deg)	rise_tr(s)	fall_tr(s)	rise_sq(s)	fall_sq(s)
255	1727.50	1.5300	4.6491	1727.00	92.0000	51.5400	85.90	0.000211	0.000236	0.000022	0.000024
254	1734.20	1.5300	4.6491	1728.20	90.0000	51.6600	86.10	0.000205	0.000234	0.000022	0.000024
253	1732.30	1.5300	4.6503	1730.80	92.0000	51.6600	85.80	0.000204	0.000234	0.000022	0.000024
252	1734.20	1.5500	4.6503	1736.40	92.0000	51.7900	85.70	0.000203	0.000235	0.000022	0.000025
251	1733.20	1.5500	4.6528	1740.00	90.0000	51.7900	86.70	0.000206	0.000238	0.000022	0.000024
250	1740.90	1.5500	4.6566	1741.70	90.0000	51.7900	85.60	0.000202	0.000234	0.000022	0.000025
249	1747.30	1.5500	4.6566	1745.10	90.0000	51.9100	85.70	0.000206	0.000232	0.000022	0.000024
248	1746.30	1.5300	4.6591	1748.50	90.0000	51.9100	84.00	0.000210	0.000234	0.000022	0.000024
247	1749.00	1.5300	4.6604	1751.20	90.0000	51.9100	86.30	0.000203	0.000229	0.000022	0.000024
246	1758.30	1.5300	4.6629	1752.20	92.0000	52.0400	85.80	0.000202	0.000230	0.000021	0.000025
245	1758.60	1.5100	4.6616	1758.80	90.0000	52.0400	85.00	0.000198	0.000230	0.000022	0.000024
244	1755.90	1.5300	4.6641	1759.80	92.0000	52.0400	86.40	0.000199	0.000230	0.000022	0.000024
243	1761.30	1.5300	4.6666	1763.00	90.0000	51.9100	87.30	0.000201	0.000232	0.000022	0.000024
242	1769.00	1.5300	4.6704	1768.30	90.0000	52.0400	87.00	0.000203	0.000231	0.000022	0.000024
241	1774.30	1.5100	4.6692	1770.30	92.0000	52.0400	88.20	0.000199	0.000229	0.000022	0.000024
240	1777.10	1.5300	4.6704	1775.60	90.0000	51.9100	86.00	0.000200	0.000230	0.000022	0.000024
239	1777.80	1.5100	4.6729	1777.30	92.0000	51.7900	84.90	0.000199	0.000223	0.000022	0.000025
238	1792.10	1.5100	4.6742	1780.60	90.0000	51.7900	86.30	0.000200	0.000226	0.000022	0.000024
237	1783.20	1.5100	4.6767	1785.70	92.0000	51.6600	86.00	0.000197	0.000221	0.000022	0.000024
236	1786.20	1.5100	4.6767	1789.00	92.0000	51.6600	86.10	0.000196	0.000228	0.000021	0.000025
235	1797.80	1.5300	4.6792	1791.10	92.0000	51.5400	85.80	0.000198	0.000222	0.000022	0.000024
234	1795.20	1.4700	4.6817	1797.00	90.0000	51.4100	84.20	0.000196	0.000226	0.000021	0.000024
233	1792.40	1.4900	4.6817	1797.30	92.0000	51.4100	86.50	0.000195	0.000224	0.000022	0.000025
232	1797.30	1.5100	4.6842	1801.70	90.0000	51.2800	85.70	0.000196	0.000222	0.000022	0.000024
231	1806.90	1.4900	4.6842	1807.40	92.0000	51.1600	84.90	0.000197	0.000224	0.000022	0.000024
230	1803.00	1.4900	4.6867	1810.50	90.0000	51.1600	83.50	0.000194	0.000223	0.000022	0.000025
229	1812.40	1.4900	4.6893	1814.50	90.0000	51.0300	85.30	0.000197	0.000221	0.000022	0.000023
228	1824.00	1.4700	4.6905	1817.40	90.0000	50.9100	85.10	0.000197	0.000221	0.000022	0.000025
227	1819.50	1.4900	4.6930	1818.20	92.0000	50.7800	85.20	0.000193	0.000214	0.000022	0.000025
226	1819.00	1.4500	4.6943	1823.20	90.0000	50.7800	85.90	0.000192	0.000217	0.000021	0.000024
225	1819.80	1.4700	4.6955	1828.00	90.0000	50.6600	86.20	0.000193	0.000219	0.000022	0.000024
224	1829.60	1.4700	4.6981	1829.10	92.0000	50.6600	86.10	0.000188	0.000218	0.000022	0.000025
223	1835.80	1.4700	4.6993	1833.40	92.0000	50.4000	86.40	0.000193	0.000221	0.000022	0.000025
222	1841.20	1.4700	4.7018	1839.30	92.0000	50.2800	84.30	0.000185	0.000219	0.000022	0.000025
221	1839.00	1.4700	4.7006	1843.40	90.0000	50.2800	83.90	0.000193	0.000211	0.000022	0.000024
220	1847.50	1.4500	4.7043	1845.00	90.0000	50.1500	86.60	0.000188	0.000214	0.000022	0.000025
219	1852.40	1.4500	4.7043	1850.80	90.0000	50.0300	84.80	0.000192	0.000211	0.000022	0.000024
218	1852.90	1.4300	4.7068	1851.30	92.0000	49.9000	86.20	0.000189	0.000216	0.000021	0.000024
217	1854.60	1.4500	4.7094	1859.30	92.0000	49.7800	84.10	0.000190	0.000213	0.000021	0.000024
216	1862.60	1.4300	4.7094	1860.70	90.0000	49.6500	84.90	0.000188	0.000215	0.000022	0.000025
215	1862.60	1.4300	4.7106	1864.80	92.0000	49.6500	85.20	0.000189	0.000212	0.000022	0.000025
214	1869.30	1.4500	4.7106	1868.70	90.0000	49.5300	86.00	0.000186	0.000212	0.000021	0.000024
213	1870.40	1.4100	4.7131	1871.30	90.0000	49.4000	86.60	0.000187	0.000210	0.000022	0.000025
212	1878.60	1.4500	4.7169	1877.70	92.0000	49.2700	86.30	0.000187	0.000213	0.000022	0.000024
211	1877.40	1.4300	4.7182	1880.50	90.0000	49.2700	85.90	0.000189	0.000214	0.000022	0.000024
210	1890.80	1.4300	4.7194	1885.10	92.0000	49.1500	86.40	0.000184	0.000210	0.000022	0.000025
209	1893.90	1.4300	4.7207	1886.80	90.0000	49.0200	86.20	0.000185	0.000209	0.000022	0.000024
208	1891.90	1.4100	4.7219	1891.40	90.0000	48.9000	86.50	0.000183	0.000212	0.000021	0.000025
207	1890.80	1.4100	4.7232	1895.10	92.0000	48.7700	83.60	0.000185	0.000210	0.000022	0.000025
206	1902.00	1.4100	4.7244	1898.80	92.0000	48.6500	86.70	0.000186	0.000209	0.000021	0.000025
205	1898.00	1.3900	4.7257	1903.70	92.0000	48.5200	84.10	0.000188	0.000213	0.000022	0.000025
204	1895.70	1.4100	4.7295	1908.40	92.0000	48.5200	84.60	0.000185	0.000213	0.000021	0.000025
203	1917.50	1.4100	4.7295	1911.90	92.0000	48.3900	84.90	0.000187	0.000213	0.000022	0.000024
202	1920.40	1.3700	4.7320	1918.60	92.0000	48.2700	84.70	0.000186	0.000210	0.000022	0.000024
201	1926.90	1.4100	4.7332	1921.00	90.0000	48.1400	85.40	0.000183	0.000210	0.000022	0.000024
200	1926.00	1.4100	4.7332	1926.30	92.0000	48.0200	86.80	0.000182	0.000209	0.000022	0.000024
199	1929.30	1.3700	4.7345	1929.00	90.0000	47.8900	85.60	0.000187	0.000210	0.000022	0.000025
198	1925.20	1.3900	4.7370	1932.90	90.0000	47.8900	85.10	0.000186	0.000209	0.000022	0.000025
197	1939.20	1.4100	4.7395	1939.20	92.0000	47.7700	86.00	0.000185	0.000211	0.000022	0.000025
196	1941.30	1.3900	4.7408	1941.90	92.0000	47.6400	85.60	0.000183	0.000211	0.000022	0.000025
195	1954.30	1.3900	4.7420	1946.10	92.0000	47.5200	85.10	0.000185	0.000212	0.000022	0.000024
194	1955.00	1.3500	4.7420	1952.50	92.0000	47.5200	86.80	0.000180	0.000201	0.000022	0.000025
193	1950.40	1.3500	4.7433	1951.90	92.0000	47.3900	85.80	0.000181	0.000205	0.000022	0.000025
192	1949.20	1.3700	4.7445	1959.60	92.0000	47.2600	87.40	0.000177	0.000211	0.000022	0.000025
191	1964.20	1.3700	4.7458	1963.20	92.0000	47.1400	86.60	0.000180	0.000206	0.000022	0.000024
190	1966.30	1.3700	4.7458	1968.50	90.0000	47.0100	85.30	0.000177	0.000204	0.000022	0.000025
189	1972.50	1.3700	4.7496	1970.40	90.0000	46.8900	84.40	0.000186	0.000202	0.000022	0.000024
188	1985.10	1.3700	4.7508	1978.20	92.0000	46.8900	83.80	0.000179	0.000208	0.000021	0.000024
187	1989.50	1.3700	4.7496	1981.60	90.0000	46.7600	85.10	0.000180	0.000201	0.000022	0.000024
186	1992.30	1.3300	4.7521	1984.40	92.0000	46.5100	85.40	0.000179	0.000200	0.000022	0.000025
185	1997.10	1.3500	4.7533	1989.50	90.0000	46.5100	84.70	0.000179	0.000205	0.000021	0.000025
184	1997.40	1.3500	4.7546	1994.30	90.0000	46.3800	85.00	0.000177	0.000197	0.000022	0.000025
183	2002.90	1.3300	4.7558	2000.00	90.0000	46.2600	85.40	0.000173	0.000199	0.000021	0.000025
182	2003.80	1.3300	4.7571	2003.20	92.0000	46.1300	86.00	0.000172	0.000203	0.000022	0.000024
181	2011.60	1.3100	4.7584	2008.40	90.0000	46.1300	86.10	0.000176	0.000197	0.000022	0.000024
180	2023.00	1.3100	4.7609	2011.90	90.0000	46.0100	85.90	0.000174	0.000199	0.000022	0.000025
179	2025.90	1.3300	4.7609	2016.10	90.0000	45.8800	84.20	0.000172	0.000196	0.000022	0.000025
178	2020.70	1.3300	4.7634	2020.70	90.0000	45.7600	86.20	0.000173	0.000198	0.000022	0.000025
177	2025.60	1.3300	4.7646	2024.30	92.0000	45.7600	87.40	0.000173	0.000197	0.000022	0.000025
176	2037.50	1.3100	4.7659	2030.20	90.0000	45.5100	85.00	0.000171	0.000196	0.000022	0.000025
175	2038.80	1.3100	4.7659	2035.80	92.0000	45.5100	87.30	0.000172	0.000199	0.000022	0.000025
174	2045.50	1.3300	4.7671	2041.10	90.0000	45.3800	85.40	0.000171	0.000190	0.000022	0.000025
173	2044.50	1.3100	4.7684	2046.50	90.0000	45.2500	85.10	0.000171	0.000198	0.000022	0.000024
172	2045.50	1.2900	4.7709	2051.20	90.0000	45.1300	84.40	0.000169	0.000191	0.000022	0.000024
171	2065.40	1.2900	4.7709	2058.00	92.0000	45.0000	85.30	0.000169	0.000192	0.000022	0.000025
170	2063.00	1.2900	4.7709	2061.00	92.0000	44.8800	86.00	0.000168	0.000193	0.000022	0.000025
169	2065.80	1.2900	4.7747	2066.80	92.0000	44.7500	86.40	0.000170	0.000191	0.000021	0.000024
168	2077.40	1.3100	4.7734	2067.80	90.0000	44.7500	86.30	0.000164	0.000188	0.000022	0.000025
167	2081.60	1.2900	4.7747	2077.10	92.0000	44.6300	87.10	0.000172	0.000189	0.000022	0.000025
166	2080.60	1.2900	4.7772	2080.90	92.0000	44.5000	87.00	0.000166	0.000190	0.000022	0.000025
165	2080.20	1.2900	4.7772	2083.30	90.0000	44.3700	86.50	0.000168	0.000186	0.000022	0.000025
164	2081.90	1.2700	4.7785	2092.10	90.0000	44.2500	86.20	0.000167	0.000192	0.000022	0.000025
163	2091.70	1.2700	4.7797	2093.50	90.0000	44.2500	87.00	0.000163	0.000187	0.000022	0.000025
162	2101.50	1.2700	4.7797	2100.10	92.0000	44.1200	85.50	0.000164	0.000189	0.000022	0.000024
161	2104.00	1.2700	4.7810	2101.50	90.0000	44.0000	86.60	0.000166	0.000188	0.000021	0.000025
160	2110.10	1.2500	4.7835	2111.50	92.0000	43.8700	84.30	0.000162	0.000190	0.000022	0.000025
159	2103.30	1.2500	4.7835	2117.20	90.0000	43.7500	84.80	0.000164	0.000188	0.000022	0.000025
158	2121.50	1.2500	4.7835	2119.40	90.0000	43.6200	84.70	0.000164	0.000183	0.000022	0.000024
157	2124.00	1.2500	4.7860	2129.10	92.0000	43.5000	85.00	0.000159	0.000182	0.000021	0.000025
