Frequency(Hz)	Amplitude(dBV)
0.000000e+00	2.878000e+04
3.814697e-01	2.878900e+04
7.629395e-01	-2.448700e+04
1.144409e+00	2.055700e+04
1.525879e+00	2.878000e+04
1.907349e+00	-2.040000e+04
2.288818e+00	-2.038800e+04
2.670288e+00	8.299000e+03
3.051758e+00	-4.009000e+03
3.433228e+00	2.467800e+04
3.814697e+00	2.057800e+04
4.196167e+00	-2.447200e+04
4.577637e+00	1.239100e+04
4.959106e+00	-1.630200e+04
5.340576e+00	-3.989000e+03
5.722046e+00	8.291000e+03
6.103516e+00	2.875800e+04
6.484985e+00	1.649100e+04
6.866455e+00	-2.449100e+04
7.247925e+00	2.467400e+04
7.629395e+00	8.297000e+03
8.010864e+00	-2.449000e+04
8.392334e+00	-3.266200e+04
8.773804e+00	8.296000e+03
9.155273e+00	2.876800e+04
9.536743e+00	8.298000e+03
9.918213e+00	-2.448500e+04
1.029968e+01	2.877600e+04
1.068115e+01	-3.995000e+03
1.106262e+01	2.055800e+04
1.144409e+01	-8.085000e+03
1.182556e+01	-4.002000e+03
1.220703e+01	9.600000e+01
1.258850e+01	-2.856700e+04
1.296997e+01	-2.042100e+04
1.335144e+01	4.199000e+03
1.373291e+01	-2.038000e+04
1.411438e+01	8.288000e+03
1.449585e+01	1.070000e+02
1.487732e+01	1.238300e+04
1.525879e+01	2.467700e+04
1.564026e+01	-2.037700e+04
1.602173e+01	2.872900e+04
1.640320e+01	1.239500e+04
1.678467e+01	2.467300e+04
1.716614e+01	-4.003000e+03
1.754761e+01	-3.266100e+04
1.792908e+01	-2.449600e+04
1.831055e+01	-1.218700e+04
1.869202e+01	-1.628200e+04
1.907349e+01	-3.268000e+04
1.945496e+01	2.468200e+04
1.983643e+01	2.467400e+04
2.021790e+01	-2.857500e+04
2.059937e+01	-1.628200e+04
2.098083e+01	-2.859800e+04
2.136230e+01	-3.991000e+03
2.174377e+01	-2.857300e+04
2.212524e+01	-2.038900e+04
2.250671e+01	2.877900e+04
2.288818e+01	2.875900e+04
2.326965e+01	1.010000e+02
2.365112e+01	2.468000e+04
2.403259e+01	-2.449900e+04
2.441406e+01	1.239300e+04
2.479553e+01	1.648000e+04
2.517700e+01	-3.267000e+04
2.555847e+01	2.058500e+04
2.593994e+01	1.236500e+04
2.632141e+01	2.058500e+04
2.670288e+01	-2.037900e+04
2.708435e+01	-1.629800e+04
2.746582e+01	1.239500e+04
2.784729e+01	8.282000e+03
2.822876e+01	2.467800e+04
2.861023e+01	8.300000e+03
2.899170e+01	-8.128000e+03
2.937317e+01	-1.628000e+04
2.975464e+01	-8.091000e+03
3.013611e+01	2.466800e+04
3.051758e+01	-3.266300e+04
3.089905e+01	8.600000e+01
3.128052e+01	2.877500e+04
3.166199e+01	2.877500e+04
3.204346e+01	7.500000e+01
3.242493e+01	-2.037400e+04
3.280640e+01	2.467100e+04
3.318787e+01	9.700000e+01
3.356934e+01	1.649000e+04
3.395081e+01	-2.861000e+04
3.433228e+01	2.468100e+04
3.471375e+01	4.200000e+03
3.509521e+01	-3.268100e+04
3.547668e+01	-1.218300e+04
3.585815e+01	8.284000e+03
3.623962e+01	8.294000e+03
3.662109e+01	2.877700e+04
3.700256e+01	-2.453000e+04
3.738403e+01	-3.992000e+03
3.776550e+01	-8.096000e+03
3.814697e+01	9.600000e+01
3.852844e+01	-2.856500e+04
3.890991e+01	-1.220400e+04
3.929138e+01	-8.091000e+03
3.967285e+01	-1.218600e+04
4.005432e+01	-8.106000e+03
4.043579e+01	-8.086000e+03
4.081726e+01	4.193000e+03
4.119873e+01	-3.266900e+04
4.158020e+01	4.201000e+03
4.196167e+01	-3.270900e+04
4.234314e+01	-1.627800e+04
4.272461e+01	1.648600e+04
4.310608e+01	4.186000e+03
4.348755e+01	2.058700e+04
4.386902e+01	-8.103000e+03
4.425049e+01	-3.996000e+03
4.463196e+01	4.200000e+03
4.501343e+01	8.300000e+01
4.539490e+01	-2.856500e+04
4.577637e+01	4.196000e+03
4.615784e+01	-2.038200e+04
4.653931e+01	-2.856500e+04
4.692078e+01	8.270000e+03
4.730225e+01	1.239700e+04
4.768372e+01	4.206000e+03
4.806519e+01	7.300000e+01
4.844666e+01	-1.628000e+04
4.882813e+01	-2.038400e+04
4.920959e+01	-3.267300e+04
4.959106e+01	4.201000e+03
4.997253e+01	-2.041400e+04
5.035400e+01	8.296000e+03
5.073547e+01	-2.857100e+04
5.111694e+01	-2.039000e+04
5.149841e+01	1.060000e+02
5.187988e+01	-8.102000e+03
5.226135e+01	-2.447600e+04
5.264282e+01	-2.447400e+04
5.302429e+01	2.874900e+04
5.340576e+01	1.070000e+02
5.378723e+01	8.290000e+03
5.416870e+01	2.057500e+04
5.455017e+01	2.058600e+04
5.493164e+01	-2.449800e+04
5.531311e+01	8.296000e+03
5.569458e+01	-3.994000e+03
5.607605e+01	-8.104000e+03
5.645752e+01	-1.627800e+04
5.683899e+01	2.876500e+04
5.722046e+01	4.198000e+03
5.760193e+01	2.058600e+04
5.798340e+01	4.167000e+03
5.836487e+01	1.060000e+02
5.874634e+01	-2.038000e+04
5.912781e+01	8.284000e+03
5.950928e+01	4.203000e+03
5.989075e+01	1.646900e+04
6.027222e+01	1.239100e+04
6.065369e+01	1.648900e+04
6.103516e+01	-8.113000e+03
6.141663e+01	-1.627700e+04
6.179810e+01	-2.038000e+04
6.217957e+01	1.238400e+04
6.256104e+01	2.058600e+04
6.294250e+01	-2.449400e+04
6.332397e+01	1.040000e+02
6.370544e+01	-1.628300e+04
6.408691e+01	-3.268000e+04
6.446838e+01	2.468300e+04
6.484985e+01	2.466900e+04
6.523132e+01	2.877200e+04
6.561279e+01	-3.266200e+04
6.599426e+01	-1.222900e+04
6.637573e+01	2.877600e+04
6.675720e+01	2.058000e+04
6.713867e+01	9.200000e+01
6.752014e+01	-2.856800e+04
6.790161e+01	4.173000e+03
6.828308e+01	1.050000e+02
6.866455e+01	1.239200e+04
6.904602e+01	2.875100e+04
6.942749e+01	1.070000e+02
6.980896e+01	1.238300e+04
7.019043e+01	2.467500e+04
7.057190e+01	1.070000e+02
7.095337e+01	-4.030000e+03
7.133484e+01	2.058500e+04
7.171631e+01	4.199000e+03
7.209778e+01	9.100000e+01
7.247925e+01	2.877900e+04
7.286072e+01	9.300000e+01
7.324219e+01	-2.037800e+04
7.362366e+01	-2.447000e+04
7.400513e+01	-2.861600e+04
7.438660e+01	1.060000e+02
7.476807e+01	-3.266800e+04
7.514954e+01	2.466800e+04
7.553101e+01	1.060000e+02
7.591248e+01	-1.630400e+04
7.629395e+01	1.239100e+04
7.667542e+01	-2.856900e+04
7.705688e+01	-8.108000e+03
7.743835e+01	-3.266200e+04
7.781982e+01	-1.628900e+04
7.820129e+01	-1.218900e+04
7.858276e+01	1.239400e+04
7.896423e+01	-2.040500e+04
7.934570e+01	1.648800e+04
7.972717e+01	-1.218900e+04
8.010864e+01	-3.267600e+04
8.049011e+01	-2.037400e+04
8.087158e+01	-4.013000e+03
8.125305e+01	2.468000e+04
8.163452e+01	8.299000e+03
8.201599e+01	-2.859200e+04
8.239746e+01	-2.447000e+04
8.277893e+01	-8.093000e+03
8.316040e+01	2.057600e+04
8.354187e+01	-3.266200e+04
8.392334e+01	1.646500e+04
8.430481e+01	-2.037600e+04
8.468628e+01	-2.447300e+04
8.506775e+01	-8.109000e+03
8.544922e+01	1.070000e+02
8.583069e+01	-4.002000e+03
8.621216e+01	-8.094000e+03
8.659363e+01	-3.266300e+04
8.697510e+01	6.600000e+01
8.735657e+01	2.877700e+04
8.773804e+01	2.058100e+04
8.811951e+01	9.200000e+01
8.850098e+01	-1.627900e+04
8.888245e+01	8.500000e+01
8.926392e+01	-3.994000e+03
8.964539e+01	-8.090000e+03
9.002686e+01	-2.039800e+04
9.040833e+01	1.649100e+04
9.078980e+01	-2.857700e+04
9.117126e+01	-2.447700e+04
9.155273e+01	4.203000e+03
9.193420e+01	1.644300e+04
9.231567e+01	-1.218200e+04
9.269714e+01	-3.992000e+03
9.307861e+01	-4.010000e+03
9.346008e+01	-3.990000e+03
9.384155e+01	-2.038800e+04
9.422302e+01	-2.447400e+04
9.460449e+01	2.468200e+04
9.498596e+01	8.271000e+03
9.536743e+01	-2.037300e+04
9.574890e+01	1.239000e+04
9.613037e+01	2.057300e+04
9.651184e+01	-3.990000e+03
9.689331e+01	-2.449400e+04
9.727478e+01	2.468000e+04
9.765625e+01	8.297000e+03
9.803772e+01	-2.859100e+04
9.841919e+01	-2.856500e+04
9.880066e+01	-8.095000e+03
9.918213e+01	2.057900e+04
9.956360e+01	4.203000e+03
9.994507e+01	-2.860000e+04
1.003265e+02	-1.627900e+04
1.007080e+02	-2.037800e+04
1.010895e+02	1.237800e+04
1.014709e+02	-3.266100e+04
1.018524e+02	-8.103000e+03
1.022339e+02	8.295000e+03
1.026154e+02	-1.218200e+04
1.029968e+02	-8.124000e+03
1.033783e+02	2.058700e+04
1.037598e+02	4.197000e+03
1.041412e+02	-4.001000e+03
1.045227e+02	-3.266100e+04
1.049042e+02	-8.109000e+03
1.052856e+02	2.877700e+04
1.056671e+02	-3.266300e+04
1.060486e+02	2.875200e+04
1.064301e+02	1.080000e+02
1.068115e+02	-1.628700e+04
1.071930e+02	-1.628600e+04
1.075745e+02	-8.086000e+03
1.079559e+02	-2.041400e+04
1.083374e+02	1.239300e+04
1.087189e+02	-3.995000e+03
1.091003e+02	-2.038800e+04
1.094818e+02	-3.266100e+04
1.098633e+02	1.237800e+04
1.102448e+02	-1.628100e+04
1.106262e+02	-2.447000e+04
1.110077e+02	-3.272300e+04
1.113892e+02	-8.087000e+03
1.117706e+02	2.467300e+04
1.121521e+02	-1.219100e+04
1.125336e+02	2.468300e+04
1.129150e+02	-2.040400e+04
1.132965e+02	-3.991000e+03
1.136780e+02	1.648900e+04
1.140594e+02	-2.449100e+04
1.144409e+02	2.468300e+04
1.148224e+02	1.647900e+04
1.152039e+02	2.058100e+04
1.155853e+02	2.058600e+04
1.159668e+02	-2.863500e+04
1.163483e+02	-1.627700e+04
1.167297e+02	4.199000e+03
1.171112e+02	-1.219700e+04
1.174927e+02	-3.266100e+04
1.178741e+02	-1.629800e+04
1.182556e+02	4.200000e+03
1.186371e+02	-1.627900e+04
1.190186e+02	4.178000e+03
1.194000e+02	1.090000e+02
1.197815e+02	-3.266700e+04
1.201630e+02	1.648100e+04
1.205444e+02	2.058700e+04
1.209259e+02	-1.630500e+04
1.213074e+02	-8.087000e+03
1.216888e+02	-1.218500e+04
1.220703e+02	2.466500e+04
1.224518e+02	1.090000e+02
1.228333e+02	-2.857600e+04
1.232147e+02	-3.266800e+04
1.235962e+02	-3.990000e+03
1.239777e+02	1.233900e+04
1.243591e+02	-2.037500e+04
1.247406e+02	-2.857200e+04
1.251221e+02	2.057600e+04
1.255035e+02	4.204000e+03
1.258850e+02	-2.448900e+04
1.262665e+02	-2.447200e+04
1.266479e+02	1.648900e+04
1.270294e+02	-2.449500e+04
1.274109e+02	-3.266000e+04
1.277924e+02	-2.038200e+04
1.281738e+02	-3.998000e+03
1.285553e+02	-8.085000e+03
1.289368e+02	1.645900e+04
1.293182e+02	2.468100e+04
1.296997e+02	-3.994000e+03
1.300812e+02	-2.448400e+04
1.304626e+02	-1.627600e+04
1.308441e+02	9.500000e+01
1.312256e+02	-2.037900e+04
1.316071e+02	2.468100e+04
1.319885e+02	7.300000e+01
1.323700e+02	2.468400e+04
1.327515e+02	-1.628400e+04
1.331329e+02	4.194000e+03
1.335144e+02	1.649300e+04
1.338959e+02	-1.629900e+04
1.342773e+02	-2.856700e+04
1.346588e+02	8.298000e+03
1.350403e+02	1.646900e+04
1.354218e+02	-2.037100e+04
1.358032e+02	-1.628300e+04
1.361847e+02	-2.448000e+04
1.365662e+02	-2.856700e+04
1.369476e+02	4.151000e+03
1.373291e+02	1.239600e+04
1.377106e+02	-8.088000e+03
1.380920e+02	2.876200e+04
1.384735e+02	-8.084000e+03
1.388550e+02	-1.629100e+04
1.392365e+02	-3.995000e+03
1.396179e+02	1.239400e+04
1.399994e+02	-3.269400e+04
1.403809e+02	1.239600e+04
1.407623e+02	2.058100e+04
1.411438e+02	-3.999000e+03
1.415253e+02	4.205000e+03
1.419067e+02	-2.858400e+04
1.422882e+02	-1.218400e+04
1.426697e+02	8.298000e+03
1.430511e+02	4.163000e+03
1.434326e+02	-3.992000e+03
1.438141e+02	1.647400e+04
1.441956e+02	8.294000e+03
1.445770e+02	-8.086000e+03
1.449585e+02	-4.041000e+03
1.453400e+02	2.468300e+04
1.457214e+02	8.294000e+03
1.461029e+02	2.467200e+04
1.464844e+02	1.649300e+04
1.468658e+02	-2.448500e+04
1.472473e+02	2.877600e+04
1.476288e+02	2.058600e+04
1.480103e+02	-4.021000e+03
1.483917e+02	1.239600e+04
1.487732e+02	-1.628600e+04
1.491547e+02	-1.218900e+04
1.495361e+02	-2.446800e+04
1.499176e+02	2.465300e+04
1.502991e+02	2.877900e+04
1.506805e+02	2.058600e+04
1.510620e+02	2.466200e+04
1.514435e+02	-3.266000e+04
1.518250e+02	1.648000e+04
1.522064e+02	-3.266700e+04
1.525879e+02	1.649000e+04
1.529694e+02	-2.040800e+04
1.533508e+02	2.878100e+04
1.537323e+02	8.296000e+03
1.541138e+02	-8.100000e+03
1.544952e+02	8.300000e+03
1.548767e+02	8.500000e+01
1.552582e+02	-2.037500e+04
1.556396e+02	-8.086000e+03
1.560211e+02	-3.268600e+04
1.564026e+02	1.239700e+04
1.567841e+02	8.292000e+03
1.571655e+02	1.648400e+04
1.575470e+02	-2.037200e+04
1.579285e+02	2.874900e+04
1.583099e+02	1.239500e+04
1.586914e+02	1.050000e+02
1.590729e+02	-1.219900e+04
1.594543e+02	8.301000e+03
1.598358e+02	-2.448200e+04
1.602173e+02	-2.037800e+04
1.605988e+02	2.468300e+04
1.609802e+02	-1.222500e+04
1.613617e+02	-1.627700e+04
1.617432e+02	1.238900e+04
1.621246e+02	-3.267000e+04
1.625061e+02	1.649300e+04
1.628876e+02	-2.858700e+04
1.632690e+02	-1.627800e+04
1.636505e+02	4.203000e+03
1.640320e+02	4.179000e+03
1.644135e+02	1.649300e+04
1.647949e+02	1.648200e+04
1.651764e+02	-3.266700e+04
1.655579e+02	1.239700e+04
1.659393e+02	1.236100e+04
1.663208e+02	-3.990000e+03
1.667023e+02	-2.447300e+04
1.670837e+02	1.647900e+04
1.674652e+02	8.302000e+03
1.678467e+02	1.647800e+04
1.682281e+02	-3.992000e+03
1.686096e+02	2.878000e+04
1.689911e+02	-2.450600e+04
1.693726e+02	1.090000e+02
1.697540e+02	-2.037800e+04
1.701355e+02	-2.448000e+04
1.705170e+02	1.239700e+04
1.708984e+02	2.056700e+04
1.712799e+02	-1.218300e+04
1.716614e+02	4.202000e+03
1.720428e+02	-2.039500e+04
1.724243e+02	-1.218000e+04
1.728058e+02	-2.857500e+04
1.731873e+02	1.648500e+04
1.735687e+02	8.299000e+03
1.739502e+02	-4.031000e+03
1.743317e+02	-3.988000e+03
1.747131e+02	1.040000e+02
1.750946e+02	9.500000e+01
1.754761e+02	-1.217900e+04
1.758575e+02	-2.858200e+04
1.762390e+02	1.648900e+04
1.766205e+02	1.239500e+04
1.770020e+02	-2.039800e+04
1.773834e+02	2.059000e+04
1.777649e+02	1.020000e+02
1.781464e+02	-3.266800e+04
1.785278e+02	4.206000e+03
1.789093e+02	8.276000e+03
1.792908e+02	1.239500e+04
1.796722e+02	-8.087000e+03
1.800537e+02	4.186000e+03
1.804352e+02	-2.856200e+04
1.808167e+02	9.800000e+01
1.811981e+02	-1.628200e+04
1.815796e+02	1.090000e+02
1.819611e+02	-4.040000e+03
1.823425e+02	1.649200e+04
1.827240e+02	-2.447300e+04
1.831055e+02	-3.267200e+04
1.834869e+02	-2.037100e+04
1.838684e+02	8.900000e+01
1.842499e+02	-8.086000e+03
1.846313e+02	-2.037300e+04
1.850128e+02	-1.220500e+04
1.853943e+02	-8.082000e+03
1.857758e+02	-8.091000e+03
1.861572e+02	1.648400e+04
1.865387e+02	-8.083000e+03
1.869202e+02	-1.630600e+04
1.873016e+02	-1.627700e+04
1.876831e+02	1.239400e+04
1.880646e+02	-2.448500e+04
1.884460e+02	2.878200e+04
1.888275e+02	9.700000e+01
1.892090e+02	-8.089000e+03
1.895905e+02	-2.037200e+04
1.899719e+02	1.644000e+04
1.903534e+02	-2.856300e+04
1.907349e+02	8.296000e+03
1.911163e+02	-2.857500e+04
1.914978e+02	1.649400e+04
1.918793e+02	-2.858300e+04
1.922607e+02	-2.037400e+04
1.926422e+02	-1.627700e+04
1.930237e+02	-4.014000e+03
1.934052e+02	-2.037100e+04
1.937866e+02	-3.266900e+04
1.941681e+02	-1.218700e+04
