Frequency(Hz)	Amplitude
0.000000000000000000e+00	-1.051699897599999787e+02
3.814697269999999807e-01	-1.051699894013634520e+02
7.629394539999999614e-01	1.048509875360427868e+20
1.144409180999999887e+00	-1.051699897599948059e+02
1.525878907999999923e+00	-1.051699897599999218e+02
1.907348634999999959e+00	-1.051699894029870705e+02
2.288818361999999773e+00	-1.051699897599986855e+02
2.670288089000000031e+00	-1.051699897599999787e+02
3.051757815999999846e+00	-1.051699897545207278e+02
3.433227542999999660e+00	1.048509875360427868e+20
3.814697269999999918e+00	-1.051699897599948059e+02
4.196166996999999732e+00	-1.051699897599999218e+02
4.577636723999999546e+00	-1.051699897596416946e+02
4.959106450999999360e+00	-1.051699897599986855e+02
5.340576178000000063e+00	-1.051699897599999787e+02
5.722045904999999877e+00	-1.051699897599119709e+02
6.103515631999999691e+00	1.048509875360427868e+20
6.484985358999999505e+00	-1.051699897599948059e+02
6.866455085999999319e+00	-1.051699897599999218e+02
7.247924813000000022e+00	-1.051699897378103827e+02
7.629394539999999836e+00	-1.051699897599986855e+02
8.010864266999998762e+00	-1.051699897599999787e+02
8.392333993999999464e+00	-1.051699897599134204e+02
8.773803721000000166e+00	1.048509875360427868e+20
9.155273447999999092e+00	-1.051699897599948059e+02
9.536743174999999795e+00	-1.051699897599999218e+02
9.918212901999998721e+00	-1.051699897544835238e+02
1.029968262899999942e+01	-1.051699897599986855e+02
1.068115235600000013e+01	-1.051699897599999787e+02
1.106262208299999905e+01	-1.051699897599986286e+02
1.144409180999999975e+01	1.048509875360427868e+20
1.182556153699999868e+01	-1.051699897599948059e+02
1.220703126399999938e+01	-1.051699897599999218e+02
1.258850099100000008e+01	-1.051699897596494253e+02
1.296997071799999901e+01	-1.051699897599986855e+02
1.335144044499999971e+01	-1.051699897599999787e+02
1.373291017199999864e+01	-1.051699897585760937e+02
1.411437989899999934e+01	1.048509875360427868e+20
1.449584962600000004e+01	-1.051699897599948059e+02
1.487731935299999897e+01	-1.051699897599999218e+02
1.525878907999999967e+01	-1.051699897585745020e+02
1.564025880699999860e+01	-1.051699897599986855e+02
