Frequency(Hz)	Amplitude
0.000000000000000000e+00	1.649100000000000000e+04
3.814697269999999807e-01	2.878900000000000000e+04
7.629394539999999614e-01	-1.220200000000000000e+04
1.144409180999999887e+00	-8.118000000000000000e+03
1.525878907999999923e+00	2.878300000000000000e+04
1.907348634999999959e+00	4.175000000000000000e+03
2.288818361999999773e+00	1.238200000000000000e+04
2.670288089000000031e+00	8.301000000000000000e+03
3.051757815999999846e+00	-2.449100000000000000e+04
3.433227542999999660e+00	2.877600000000000000e+04
3.814697269999999918e+00	-8.091000000000000000e+03
4.196166996999999732e+00	-1.218600000000000000e+04
4.577636723999999546e+00	2.058400000000000000e+04
4.959106450999999360e+00	-3.268000000000000000e+04
5.340576178000000063e+00	1.649100000000000000e+04
5.722045904999999877e+00	8.292000000000000000e+03
6.103515631999999691e+00	-2.449200000000000000e+04
6.484985358999999505e+00	-2.856500000000000000e+04
6.866455085999999319e+00	-2.858300000000000000e+04
7.247924813000000022e+00	8.289000000000000000e+03
7.629394539999999836e+00	2.468200000000000000e+04
8.010864266999998762e+00	4.172000000000000000e+03
8.392333993999999464e+00	-2.037800000000000000e+04
8.773803721000000166e+00	-1.218800000000000000e+04
9.155273447999999092e+00	-2.038200000000000000e+04
9.536743174999999795e+00	-2.447000000000000000e+04
9.918212901999998721e+00	4.187000000000000000e+03
1.029968262899999942e+01	8.296000000000000000e+03
1.068115235600000013e+01	-3.266700000000000000e+04
1.106262208299999905e+01	4.177000000000000000e+03
1.144409180999999975e+01	-2.037300000000000000e+04
1.182556153699999868e+01	-4.004000000000000000e+03
1.220703126399999938e+01	-1.219000000000000000e+04
1.258850099100000008e+01	4.203000000000000000e+03
1.296997071799999901e+01	-2.042000000000000000e+04
1.335144044499999971e+01	-1.628100000000000000e+04
1.373291017199999864e+01	-2.037800000000000000e+04
1.411437989899999934e+01	8.285000000000000000e+03
1.449584962600000004e+01	-1.627800000000000000e+04
1.487731935299999897e+01	2.057600000000000000e+04
1.525878907999999967e+01	-1.628400000000000000e+04
1.564025880699999860e+01	-2.856900000000000000e+04
1.602172853399999752e+01	2.053200000000000000e+04
1.640319826100000000e+01	2.058600000000000000e+04
1.678466798799999893e+01	1.238400000000000000e+04
1.716613771499999785e+01	2.467000000000000000e+04
1.754760744200000033e+01	1.239500000000000000e+04
1.792907716899999926e+01	-2.040500000000000000e+04
1.831054689599999818e+01	1.239100000000000000e+04
1.869201662300000066e+01	-1.628100000000000000e+04
1.907348634999999959e+01	-1.629700000000000000e+04
1.945495607699999852e+01	4.202000000000000000e+03
1.983642580399999744e+01	-3.267300000000000000e+04
2.021789553099999992e+01	-2.037900000000000000e+04
2.059936525799999885e+01	1.239400000000000000e+04
2.098083498499999777e+01	-1.630900000000000000e+04
2.136230471200000025e+01	-3.991000000000000000e+03
2.174377443899999918e+01	2.877300000000000000e+04
2.212524416599999810e+01	1.647200000000000000e+04
2.250671389300000058e+01	1.239500000000000000e+04
2.288818361999999951e+01	-1.629600000000000000e+04
2.326965334699999843e+01	2.058000000000000000e+04
2.365112307399999736e+01	8.296000000000000000e+03
2.403259280099999984e+01	-1.220800000000000000e+04
2.441406252799999876e+01	-3.266200000000000000e+04
2.479553225499999769e+01	1.238700000000000000e+04
2.517700198200000017e+01	-2.038400000000000000e+04
2.555847170899999909e+01	-3.992000000000000000e+03
2.593994143599999802e+01	2.464800000000000000e+04
2.632141116299999695e+01	1.239400000000000000e+04
2.670288088999999943e+01	-2.037700000000000000e+04
2.708435061699999835e+01	2.875500000000000000e+04
2.746582034399999728e+01	4.203000000000000000e+03
2.784729007099999976e+01	-1.219500000000000000e+04
2.822875979799999868e+01	-2.447800000000000000e+04
2.861022952499999761e+01	-2.856700000000000000e+04
2.899169925200000009e+01	-2.451300000000000000e+04
2.937316897899999901e+01	-2.856700000000000000e+04
2.975463870599999794e+01	1.020000000000000000e+02
3.013610843299999686e+01	8.286000000000000000e+03
3.051757815999999934e+01	2.058600000000000000e+04
3.089904788699999827e+01	-2.449000000000000000e+04
3.128051761399999720e+01	8.296000000000000000e+03
3.166198734099999967e+01	-1.628000000000000000e+04
3.204345706799999505e+01	2.874100000000000000e+04
3.242492679499999753e+01	8.298000000000000000e+03
3.280639652200000000e+01	-4.001000000000000000e+03
3.318786624899999538e+01	-8.097000000000000000e+03
3.356933597599999786e+01	-8.087000000000000000e+03
3.395080570300000034e+01	8.244000000000000000e+03
3.433227542999999571e+01	-1.218300000000000000e+04
3.471374515699999819e+01	1.239300000000000000e+04
3.509521488400000067e+01	2.875500000000000000e+04
3.547668461099999604e+01	-1.218400000000000000e+04
3.585815433799999852e+01	-3.267700000000000000e+04
3.623962406500000100e+01	-1.628300000000000000e+04
3.662109379199999637e+01	-1.628000000000000000e+04
3.700256351899999885e+01	-1.223000000000000000e+04
3.738403324600000133e+01	-8.087000000000000000e+03
3.776550297299999670e+01	1.238600000000000000e+04
3.814697269999999918e+01	4.191000000000000000e+03
3.852844242699999455e+01	2.877900000000000000e+04
3.890991215399999703e+01	4.180000000000000000e+03
3.929138188099999951e+01	8.294000000000000000e+03
3.967285160799999488e+01	-2.037700000000000000e+04
4.005432133499999736e+01	2.465900000000000000e+04
4.043579106199999984e+01	-3.991000000000000000e+03
4.081726078899999521e+01	1.238400000000000000e+04
4.119873051599999769e+01	2.467500000000000000e+04
4.158020024300000017e+01	-2.037600000000000000e+04
4.196166996999999554e+01	-1.222300000000000000e+04
4.234313969699999802e+01	4.203000000000000000e+03
4.272460942400000050e+01	8.294000000000000000e+03
4.310607915099999587e+01	8.283000000000000000e+03
4.348754887799999835e+01	1.080000000000000000e+02
4.386901860500000083e+01	-2.448600000000000000e+04
4.425048833199999621e+01	-1.218700000000000000e+04
4.463195805899999868e+01	1.649000000000000000e+04
4.501342778600000116e+01	2.053800000000000000e+04
4.539489751299999654e+01	-2.037600000000000000e+04
4.577636723999999901e+01	-1.628700000000000000e+04
4.615783696699999439e+01	-1.219100000000000000e+04
4.653930669399999687e+01	1.239400000000000000e+04
4.692077642099999935e+01	2.055500000000000000e+04
4.730224614799999472e+01	-3.991000000000000000e+03
4.768371587499999720e+01	-3.266600000000000000e+04
4.806518560199999968e+01	-4.003000000000000000e+03
4.844665532899999505e+01	-1.217700000000000000e+04
4.882812505599999753e+01	8.294000000000000000e+03
4.920959478300000001e+01	8.289000000000000000e+03
4.959106450999999538e+01	-1.218100000000000000e+04
4.997253423699999786e+01	-2.859500000000000000e+04
5.035400396400000034e+01	-2.037600000000000000e+04
5.073547369099999571e+01	1.648700000000000000e+04
5.111694341799999819e+01	-2.448800000000000000e+04
5.149841314500000067e+01	8.298000000000000000e+03
5.187988287199999604e+01	1.647400000000000000e+04
5.226135259899999852e+01	-1.628200000000000000e+04
5.264282232599999389e+01	-2.856700000000000000e+04
5.302429205299999637e+01	-3.270600000000000000e+04
5.340576177999999885e+01	-1.627800000000000000e+04
5.378723150699999422e+01	-8.094000000000000000e+03
5.416870123399999670e+01	2.467200000000000000e+04
5.455017096099999918e+01	2.058800000000000000e+04
5.493164068799999455e+01	4.182000000000000000e+03
5.531311041499999703e+01	-2.037700000000000000e+04
5.569458014199999951e+01	-3.266300000000000000e+04
5.607604986899999489e+01	2.465000000000000000e+04
5.645751959599999736e+01	1.050000000000000000e+02
5.683898932299999984e+01	4.191000000000000000e+03
5.722045904999999522e+01	4.195000000000000000e+03
5.760192877699999769e+01	4.201000000000000000e+03
5.798339850400000017e+01	8.261000000000000000e+03
5.836486823099999555e+01	2.877600000000000000e+04
5.874633795799999803e+01	2.877100000000000000e+04
5.912780768500000050e+01	-2.858100000000000000e+04
5.950927741199999588e+01	-1.627800000000000000e+04
5.989074713899999836e+01	2.056700000000000000e+04
6.027221686599999373e+01	8.293000000000000000e+03
6.065368659299999621e+01	4.200000000000000000e+03
6.103515631999999869e+01	1.646300000000000000e+04
6.141662604699999406e+01	-1.627900000000000000e+04
6.179809577399999654e+01	1.648000000000000000e+04
6.217956550099999902e+01	-1.628500000000000000e+04
6.256103522799999439e+01	-3.266100000000000000e+04
6.294250495499999687e+01	-3.268500000000000000e+04
6.332397468199999935e+01	-1.628100000000000000e+04
6.370544440899999472e+01	-8.091000000000000000e+03
6.408691413599999009e+01	2.056600000000000000e+04
6.446838386299999968e+01	-2.447000000000000000e+04
6.484985358999999505e+01	-2.858100000000000000e+04
6.523132331699999042e+01	1.000000000000000000e+02
6.561279304400000001e+01	2.468100000000000000e+04
6.599426277099999538e+01	8.251000000000000000e+03
6.637573249799999076e+01	2.877700000000000000e+04
6.675720222500000034e+01	1.648400000000000000e+04
6.713867195199999571e+01	-2.448200000000000000e+04
6.752014167899999109e+01	2.058600000000000000e+04
6.790161140600000067e+01	-2.449200000000000000e+04
6.828308113299999604e+01	-8.089000000000000000e+03
6.866455085999999142e+01	-1.218500000000000000e+04
6.904602058700000100e+01	-1.220900000000000000e+04
6.942749031399999637e+01	2.058700000000000000e+04
6.980896004099999175e+01	-3.267200000000000000e+04
7.019042976800000133e+01	-3.999000000000000000e+03
7.057189949499999670e+01	-1.627800000000000000e+04
7.095336922199999208e+01	2.874700000000000000e+04
7.133483894900000166e+01	2.877500000000000000e+04
7.171630867599999704e+01	-8.092000000000000000e+03
7.209777840299999241e+01	2.876400000000000000e+04
7.247924813000000199e+01	-8.086000000000000000e+03
7.286071785699999737e+01	-2.448600000000000000e+04
7.324218758399999274e+01	-3.994000000000000000e+03
