*Frequency 	VM1-abs (dB)	VM1-phase (deg)
10	-128,285599780328	179,951535127238
11,4815362149688	-125,885599802799	179,947619166116
13,1825673855641	-123,485599807631	179,942701828893
15,1356124843621	-121,085599795196	179,936689109458
17,3780082874938	-118,685599764538	179,929466060881
19,9526231496888	-116,285599713303	179,920894597858
22,9086765276777	-113,885599637553	179,910810856774
26,3026799189538	-111,485599531469	179,899022062892
30,1995172040202	-109,085599386902	179,88530284473
34,6736850452532	-106,685599192744	179,869390925136
39,8107170553497	-104,285598934081	179,850982106589
45,7088189614875	-101,885598591043	179,829724454746
52,4807460249772	-99,4855981372824	179,805211568863
60,2559586074358	-97,0855975379479	179,776974810148
69,1830970918936	-94,6855967470156	179,744474339083
79,4328234724282	-92,2855957037586	179,707088789715
91,2010839355909	-89,8855943280946	179,664103382585
104,71285480509	-87,4855925144572	179,614696247592
120,226443461741	-85,0855901237259	179,557922693137
138,038426460288	-82,6855869726086	179,492697117511
158,489319246111	-80,2855828196829	179,417772211725
181,970085860998	-77,8855773470635	179,331715048598
208,929613085404	-75,4855701363544	179,232879589557
239,883291901949	-73,0855606371555	179,119375066174
275,422870333817	-70,6855481259106	178,989029605758
316,227766016838	-68,285531652289	178,839348365883
363,078054770101	-65,8855099696021	178,667465317428
416,869383470335	-63,4854814449823	178,47008766348
478,630092322638	-61,0854439442945	178,243431694121
549,540873857625	-58,6853946861859	177,983148643109
630,957344480193	-56,2853300597075	177,68423881515
724,43596007499	-53,8852454013121	177,34095186812
831,76377110267	-51,485134731155	176,946670628521
954,992586021435	-49,0849904580964	176,493775140556
1096,47819614319	-46,6848030822992	175,97348272581
1258,92541179417	-44,2845609622116	175,375658554853
1445,43977074593	-41,8842502838965	174,688589448697
1659,58690743756	-39,4838555014021	173,898711113594
1905,46071796325	-37,083360753427	172,990275450514
2187,76162394955	-34,6827531851228	171,944939533097
2511,88643150958	-32,2820298566066	170,741250735428
2884,0315031266	-29,8812112496651	169,353992605693
3311,31121482591	-27,4803667223363	167,753342704013
3801,89396320561	-25,0796613521069	165,903776404805
4365,15832240166	-22,6794407232654	163,762630661412
5011,87233627272	-20,2803824752987	161,278223936209
5754,39937337156	-17,8837642352512	158,387427755904
6606,93448007596	-15,491931877551	155,012639536568
7585,77575029183	-13,1091056370016	151,058304052882
8709,6358995608	-10,7427358932936	146,407663755965
10000	-8,40569434374567	140,921655563761
11481,5362149688	-6,11956506950009	134,444374650444
13182,5673855641	-3,91890946421302	126,823602324042
15135,6124843621	-1,85507484326285	117,958608379705
17378,0082874938	0,00450161193814304	107,882111384458
19952,6231496888	1,58775430341093	96,8528492627803
22908,6765276777	2,8421998745848	85,3832514064512
26302,6799189538	3,75963553874911	74,1250115555184
30199,5172040202	4,38050082945816	63,6541744419225
34673,6850452532	4,77366162899788	54,3122484028767
39810,7170553497	5,00992573741399	46,1936015211129
45708,8189614874	5,14620978250851	39,2276563533937
52480,7460249773	5,22209090079287	33,2691185143965
60255,9586074357	5,26276800564969	28,1566692011949
69183,0970918936	5,28343355745129	23,74074067431
79432,8234724282	5,2929230970996	19,8925580053751
91201,0839355909	5,29623131785199	16,504393936123
104712,85480509	5,29609502410632	13,4866005129276
120226,443461741	5,29394003739829	10,7639653449571
138038,426460288	5,29042921563797	8,27236526704885
158489,319246112	5,28577007557627	5,95598332549806
181970,085860998	5,27987974157406	3,7650783273345
208929,613085404	5,27246477891998	1,65420990913716
239883,291901949	5,26304859201283	-0,419188013624272
275422,870333816	5,25096404775574	-2,49597629936756
316227,766016838	5,23531991666441	-4,61629029034339
363078,054770101	5,2149441145575	-6,82037583858673
416869,383470335	5,18830307773619	-9,14930616089639
478630,092322638	5,15339406759505	-11,6455830076696
549540,873857625	5,10760537248629	-14,3536023968756
630957,344480193	5,04753820764767	-17,3199367458277
724435,960074989	4,9687839419031	-20,5933482041684
831763,77110267	4,86565195515302	-24,2243989626531
954992,586021434	4,73084857317501	-28,2644613883004
1096478,19614319	4,55511882780583	-32,7638572594606
1258925,41179417	4,32688413121271	-37,7687872007713
1445439,77074593	4,03194463051575	-43,3166908796218
1659586,90743756	3,65336662128831	-49,4297908401763
1905460,71796325	3,17173440614565	-56,1069511795732
2187761,62394955	2,56598197650353	-63,3147602701206
2511886,43150958	1,81497320064418	-70,9799016070344
2884031,5031266	0,899801516220416	-78,9859740578466
3311311,2148259	-0,193573053271079	-87,1780092067906
3801893,96320561	-1,47209058452135	-95,3760496776264
4365158,32240166	-2,93458612284186	-103,39550897798
5011872,33627273	-4,57246498760709	-111,068654961941
5754399,37337156	-6,371853463295	-118,260926352363
6606934,48007596	-8,31651060892933	-124,878401587818
7585775,75029182	-10,3907239835904	-130,866565279437
8709635,8995608	-12,581725553442	-136,203096523032
10000000	-14,8815803563396	-140,887847113087
